name,company,year,Price,kms_driven,fuel_type
Ford Endeavor 4x4 Thunder Plus,Ford,2019,2900000,9000,Diesel
Tata Indica V2,Tata,2005,39999,80000,Diesel
Hyundai Santro Xing GL,Hyundai,2006,85000,60000,Petrol
Maruti Suzuki Wagon R 1.0 VXi,Maruti,2016,395000,20000,Petrol
Maruti Suzuki Swift Select Variant,Maruti,2008,175000,58000,Diesel
Maruti Suzuki Alto 800 Lx,Maruti,2019,400000,1500,Petrol
Toyota Innova 2.5 Z Diesel 7 Seater,Toyota,2011,750000,75000,Diesel
Maruti Suzuki Alto 800,Maruti,2016,250000,2450,Petrol
Maruti Suzuki Alto AX,Maruti,2019,425000,1625,Petrol
Volkswagen Polo Highline1.2L P,Volkswagen,2017,525000,45000,Petrol
Mahindra Logan,Mahindra,2009,130000,65000,Diesel
Maruti Suzuki 800 Std BS III,Maruti,2000,30000,33400,Petrol
Mahindra Scorpio,Mahindra,2011,475000,60123,Diesel
Chevrolet Sail 1.2 LS,Chevrolet,2013,300000,28000,Petrol
Hyundai Santro AE GLS Audio,Hyundai,2003,60000,70000,Petrol
Maruti Suzuki Wagon R VXi Minor,Maruti,2006,100000,7000,Petrol
Hyundai Eon,Hyundai,2018,260000,25000,Petrol
Tata Manza,Tata,2015,100000,100000,Diesel
Toyota Etios G,Toyota,2013,265000,42000,Petrol
Hyundai Getz Prime 1.3 GLX,Hyundai,2009,115000,20000,Petrol
Toyota Qualis,Toyota,2003,180000,100000,Diesel
Hyundai Santro Xing,Hyundai,2004,45000,137495,Petrol
Tata Indica eV2 LS,Tata,2016,50500,91200,Diesel
Honda City 1.5 S MT,Honda,2009,270000,55000,Petrol
Tata Zest XE 75 PS Diesel,Tata,2017,290000,120000,Diesel
Mahindra Quanto C4,Mahindra,2013,325000,63000,Diesel
Tata Indigo eCS LX CR4 BS IV,Tata,2016,160000,104000,Diesel
Maruti Suzuki Swift Dzire,Maruti,2016,350000,146000,Diesel
Hyundai Elite i20,Hyundai,2011,290000,40000,Petrol
Hyundai i20 Select Variant,Hyundai,2011,290000,40000,Petrol
Chevrolet Tavera Neo,Chevrolet,2007,465000,100800,Diesel
Maruti Suzuki Dzire,Maruti,2016,325000,150000,Diesel
Hyundai Elite i20,Hyundai,2018,510000,2100,Petrol
Honda City VX Petrol,Honda,2016,860000,95000,Petrol
Maruti Suzuki Dzire,Maruti,2016,450000,2500,Diesel
Hyundai Getz,Hyundai,2006,125000,80000,Petrol
Mercedes Benz C Class 200 K MT,Mercedes,2006,500001,15000,Petrol
Maruti Suzuki Alto LXi BS III,Maruti,2005,95000,65000,Petrol
Maruti Suzuki Swift Dzire Tour VDi,Maruti,2009,250000,51000,Diesel
Skoda Fabia,Skoda,2009,110000,45000,Petrol
Maruti Suzuki Ritz VXI ABS,Maruti,2011,270000,50000,Petrol
Tata Indica V2 DLE BS III,Tata,2009,110000,30000,Diesel
Toyota Corolla Altis,Toyota,2009,300000,132000,Petrol
Tata Zest XM Diesel,Tata,2018,260000,27000,Diesel
Mahindra Quanto C8,Mahindra,2013,390000,40000,Diesel
